"price_range","material","level"
"$0","textbook","undergraduate"
"$0","textbook","undergraduate"
"$0","textbook","undergraduate"
"$0","textbook","undergraduate"
"$0","textbook","undergraduate"
"$0","textbook","undergraduate"
"$0","textbook","undergraduate"
"$0","textbook","undergraduate"
"$0","textbook","undergraduate"
"$0","textbook","undergraduate"
"$0","textbook","undergraduate"
"$0","textbook","undergraduate"
"$0","textbook","undergraduate"
"$0","textbook","undergraduate"
"$0","textbook","undergraduate"
"$0","textbook","undergraduate"
"$0","textbook","undergraduate"
"$0","textbook","undergraduate"
"$0","textbook","undergraduate"
"$0","textbook","undergraduate"
"$0","textbook","undergraduate"
"$0","textbook","undergraduate"
"$0","textbook","undergraduate"
"$0","textbook","undergraduate"
"$0","textbook","undergraduate"
"$0","textbook","undergraduate"
"$0","textbook","undergraduate"
"$1-$99","textbook","undergraduate"
"$1-$99","textbook","undergraduate"
"$1-$99","textbook","undergraduate"
"$1-$99","textbook","undergraduate"
"$1-$99","textbook","undergraduate"
"$1-$99","textbook","undergraduate"
"$1-$99","textbook","undergraduate"
"$1-$99","textbook","undergraduate"
"$1-$99","textbook","undergraduate"
"$1-$99","textbook","undergraduate"
"$1-$99","textbook","undergraduate"
"$1-$99","textbook","undergraduate"
"$1-$99","textbook","undergraduate"
"$1-$99","textbook","undergraduate"
"$1-$99","textbook","undergraduate"
"$1-$99","textbook","undergraduate"
"$1-$99","textbook","undergraduate"
"$1-$99","textbook","undergraduate"
"$1-$99","textbook","undergraduate"
"$1-$99","textbook","undergraduate"
"$1-$99","textbook","undergraduate"
"$1-$99","textbook","undergraduate"
"$1-$99","textbook","undergraduate"
"$1-$99","textbook","undergraduate"
"$1-$99","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
"$100-$199","textbook","undergraduate"
